region,date,confirm
Scotland,2021-10-26,118
United Kingdom,2021-10-26,1122
Scotland,2021-10-27,122
United Kingdom,2021-10-27,1164
Scotland,2021-10-28,113
United Kingdom,2021-10-28,1083
Scotland,2021-10-29,107
Wales,2021-10-29,49
United Kingdom,2021-10-29,1034
Scotland,2021-10-30,80
England,2021-10-30,741
Wales,2021-10-30,48
United Kingdom,2021-10-30,906
Scotland,2021-10-31,81
Northern Ireland,2021-10-31,25
England,2021-10-31,860
Wales,2021-10-31,43
United Kingdom,2021-10-31,1009
Scotland,2021-11-01,129
Northern Ireland,2021-11-01,35
England,2021-11-01,899
Wales,2021-11-01,37
United Kingdom,2021-11-01,1100
Scotland,2021-11-02,111
Northern Ireland,2021-11-02,41
England,2021-11-02,891
Wales,2021-11-02,42
United Kingdom,2021-11-02,1085
Scotland,2021-11-03,92
Northern Ireland,2021-11-03,37
England,2021-11-03,807
Wales,2021-11-03,50
United Kingdom,2021-11-03,986
Scotland,2021-11-04,92
Northern Ireland,2021-11-04,36
England,2021-11-04,717
Wales,2021-11-04,42
United Kingdom,2021-11-04,887
Scotland,2021-11-05,95
Northern Ireland,2021-11-05,41
England,2021-11-05,686
Wales,2021-11-05,39
United Kingdom,2021-11-05,861
Scotland,2021-11-06,63
Northern Ireland,2021-11-06,29
England,2021-11-06,688
Wales,2021-11-06,49
United Kingdom,2021-11-06,829
Scotland,2021-11-07,85
Northern Ireland,2021-11-07,21
England,2021-11-07,739
Wales,2021-11-07,45
United Kingdom,2021-11-07,890
Scotland,2021-11-08,111
Northern Ireland,2021-11-08,35
England,2021-11-08,850
Wales,2021-11-08,24
United Kingdom,2021-11-08,1020
Scotland,2021-11-09,104
Northern Ireland,2021-11-09,46
England,2021-11-09,808
Wales,2021-11-09,38
United Kingdom,2021-11-09,996
Scotland,2021-11-10,83
Northern Ireland,2021-11-10,37
England,2021-11-10,821
Wales,2021-11-10,45
United Kingdom,2021-11-10,986
Scotland,2021-11-11,103
Northern Ireland,2021-11-11,27
England,2021-11-11,797
Wales,2021-11-11,36
United Kingdom,2021-11-11,963
Scotland,2021-11-12,92
Northern Ireland,2021-11-12,34
England,2021-11-12,729
Wales,2021-11-12,42
United Kingdom,2021-11-12,897
Scotland,2021-11-13,54
Northern Ireland,2021-11-13,34
England,2021-11-13,655
Wales,2021-11-13,34
United Kingdom,2021-11-13,777
Scotland,2021-11-14,74
Northern Ireland,2021-11-14,23
England,2021-11-14,678
Wales,2021-11-14,32
United Kingdom,2021-11-14,807
Scotland,2021-11-15,89
Northern Ireland,2021-11-15,26
England,2021-11-15,695
Wales,2021-11-15,30
United Kingdom,2021-11-15,840
Scotland,2021-11-16,110
Northern Ireland,2021-11-16,32
England,2021-11-16,713
Wales,2021-11-16,50
United Kingdom,2021-11-16,905
Scotland,2021-11-17,79
Northern Ireland,2021-11-17,37
England,2021-11-17,727
Wales,2021-11-17,22
United Kingdom,2021-11-17,865
Scotland,2021-11-18,84
Northern Ireland,2021-11-18,29
England,2021-11-18,697
Wales,2021-11-18,32
United Kingdom,2021-11-18,842
Scotland,2021-11-19,72
Northern Ireland,2021-11-19,28
England,2021-11-19,637
Wales,2021-11-19,38
United Kingdom,2021-11-19,775
Scotland,2021-11-20,53
Northern Ireland,2021-11-20,33
England,2021-11-20,611
Wales,2021-11-20,38
United Kingdom,2021-11-20,735
Scotland,2021-11-21,53
Northern Ireland,2021-11-21,19
England,2021-11-21,648
Wales,2021-11-21,35
United Kingdom,2021-11-21,755
Scotland,2021-11-22,92
Northern Ireland,2021-11-22,31
England,2021-11-22,602
Wales,2021-11-22,21
United Kingdom,2021-11-22,746
Scotland,2021-11-23,73
Northern Ireland,2021-11-23,31
England,2021-11-23,659
Wales,2021-11-23,25
United Kingdom,2021-11-23,788
Scotland,2021-11-24,100
Northern Ireland,2021-11-24,29
England,2021-11-24,752
Wales,2021-11-24,35
United Kingdom,2021-11-24,916
Scotland,2021-11-25,77
Northern Ireland,2021-11-25,16
England,2021-11-25,650
Wales,2021-11-25,35
United Kingdom,2021-11-25,778
Scotland,2021-11-26,65
Northern Ireland,2021-11-26,20
England,2021-11-26,620
Wales,2021-11-26,26
United Kingdom,2021-11-26,731
Scotland,2021-11-27,62
Northern Ireland,2021-11-27,17
England,2021-11-27,609
Wales,2021-11-27,28
United Kingdom,2021-11-27,716
Scotland,2021-11-28,55
Northern Ireland,2021-11-28,31
England,2021-11-28,607
Wales,2021-11-28,21
United Kingdom,2021-11-28,714
Scotland,2021-11-29,94
Northern Ireland,2021-11-29,27
England,2021-11-29,669
