region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Barnsley,2021-04-22,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-04-23,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-04-24,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-04-25,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-04-26,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-04-27,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-04-28,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-04-29,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-04-30,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-01,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-02,,estimate,0,0.1,0.2,0,0,0,0,0,0
Barnsley,2021-05-03,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-05-04,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-05-05,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-05-06,,estimate,0,0.2,0.6,0,0,0,0,0,1
Barnsley,2021-05-07,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-08,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-09,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-05-10,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-05-11,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-05-12,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-05-13,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-05-14,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-15,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-16,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-05-17,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-18,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-19,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-20,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-05-21,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-22,,estimate,0,0.1,0.2,0,0,0,0,0,1
Barnsley,2021-05-23,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-05-24,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-25,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-26,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-27,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-05-28,,estimate,0,0.1,0.2,0,0,0,0,0,1
Barnsley,2021-05-29,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-05-30,,estimate,0,0,0.1,0,0,0,0,0,0
Barnsley,2021-05-31,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-01,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-02,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-03,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-04,,estimate,0,0.1,0.2,0,0,0,0,0,0
Barnsley,2021-06-05,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-06,,estimate,0,0,0.1,0,0,0,0,0,0
Barnsley,2021-06-07,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-08,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-09,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-10,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-11,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-12,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-13,,estimate,0,0,0.1,0,0,0,0,0,0
Barnsley,2021-06-14,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-15,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-16,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-17,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-06-18,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-19,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-20,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-21,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-22,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-06-23,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-06-24,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-06-25,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barnsley,2021-06-26,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-06-27,,estimate,0,0,0.2,0,0,0,0,0,0
Barnsley,2021-06-28,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-06-29,,estimate,0,0.2,0.6,0,0,0,0,0,1
Barnsley,2021-06-30,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barnsley,2021-07-01,,estimate,0,0.3,0.6,0,0,0,0,0,2
Barnsley,2021-07-02,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-07-03,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barnsley,2021-07-04,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barnsley,2021-07-05,,estimate,0,0.3,0.7,0,0,0,0,1,2
Barnsley,2021-07-06,,estimate,0,0.5,0.8,0,0,0,0,1,2
Barnsley,2021-07-07,,estimate,0,0.5,0.9,0,0,0,0,1,2
Barnsley,2021-07-08,,estimate,0,0.6,1,0,0,0,0,1,3
Barnsley,2021-07-09,,estimate,0,0.4,0.8,0,0,0,0,1,2
Barnsley,2021-07-10,,estimate,0,0.3,0.7,0,0,0,0,0,2
Barnsley,2021-07-11,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barnsley,2021-07-12,,estimate,0,0.7,1,0,0,0,1,1,3
Barnsley,2021-07-13,,estimate,1,0.9,1.4,0,0,0,1,1,3
Barnsley,2021-07-14,,estimate,1,1,1.4,0,0,0,1,1,4
Barnsley,2021-07-15,,estimate,1,1,1.4,0,0,0,1,2,4
Barnsley,2021-07-16,,estimate,0,0.7,1.1,0,0,0,1,1,3
Barnsley,2021-07-17,,estimate,0,0.5,0.9,0,0,0,0,1,2
Barnsley,2021-07-18,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barnsley,2021-07-19,,estimate,1,1,1.5,0,0,0,1,2,4
Barnsley,2021-07-20,,estimate,1,1.3,1.8,0,0,0,1,2,5
Barnsley,2021-07-21,,estimate,1,1.3,1.7,0,0,1,1,2,4
Barnsley,2021-07-22,,estimate,1,1.5,2,0,0,1,1,2,5
Barnsley,2021-07-23,,estimate based on partial data,1,0.9,1.3,0,0,0,1,1,3
Barnsley,2021-07-24,,estimate based on partial data,0,0.6,1,0,0,0,0,1,3
Barnsley,2021-07-25,,estimate based on partial data,0,0.3,0.7,0,0,0,0,0,2
Barnsley,2021-07-26,,estimate based on partial data,1,1.2,1.6,0,0,0,1,2,4
Barnsley,2021-07-27,,estimate based on partial data,1,1.5,1.9,0,0,1,1,2,5
Barnsley,2021-07-28,,estimate based on partial data,1,1.4,1.9,0,0,1,1,2,5
Barnsley,2021-07-29,,estimate based on partial data,1,1.6,2,0,0,1,1,2,5
Barnsley,2021-07-30,,estimate based on partial data,1,1,1.4,0,0,0,1,1,4
Barnsley,2021-07-31,,estimate based on partial data,0,0.6,1,0,0,0,0,1,2
Barnsley,2021-08-01,,estimate based on partial data,0,0.3,0.7,0,0,0,0,0,2
Barnsley,2021-08-02,,estimate based on partial data,1,1.1,1.5,0,0,0,1,2,4
Barnsley,2021-08-03,,estimate based on partial data,1,1.4,1.9,0,0,1,1,2,5
Barnsley,2021-08-04,,estimate based on partial data,1,1.4,1.8,0,0,1,1,2,5
Barnsley,2021-08-05,,estimate based on partial data,1,1.5,2,0,0,1,1,2,5
Barnsley,2021-08-06,,estimate based on partial data,0,0.9,1.3,0,0,0,1,1,3
Barnsley,2021-08-07,,estimate based on partial data,0,0.6,1,0,0,0,0,1,3
Barnsley,2021-08-08,,estimate based on partial data,0,0.3,0.7,0,0,0,0,0,2
Barnsley,2021-08-09,,estimate based on partial data,1,1,1.5,0,0,0,1,2,4
Barnsley,2021-08-10,,estimate based on partial data,1,1.3,1.8,0,0,0,1,2,5
