region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-10-11,,estimate,4.2,4.4,1.2,2.7,3.5,3.9,4.5,5,6.5
Eastern Cape,2021-10-12,,estimate,4,4.1,1.1,2.6,3.4,3.7,4.3,4.8,6.2
Eastern Cape,2021-10-13,,estimate,3.8,3.9,1,2.5,3.2,3.6,4.1,4.5,5.8
Eastern Cape,2021-10-14,,estimate,3.6,3.7,1,2.4,3.1,3.4,3.8,4.3,5.5
Eastern Cape,2021-10-15,,estimate,3.4,3.6,0.9,2.3,2.9,3.2,3.7,4.1,5.2
Eastern Cape,2021-10-16,,estimate,3.3,3.4,0.8,2.2,2.8,3.1,3.5,3.9,4.9
Eastern Cape,2021-10-17,,estimate,3.1,3.2,0.8,2.1,2.7,2.9,3.3,3.7,4.7
Eastern Cape,2021-10-18,,estimate,2.9,3.1,0.8,2,2.5,2.8,3.2,3.5,4.5
Eastern Cape,2021-10-19,,estimate,2.8,2.9,0.7,1.9,2.4,2.6,3,3.3,4.2
Eastern Cape,2021-10-20,,estimate,2.7,2.8,0.7,1.8,2.3,2.5,2.9,3.2,4
Eastern Cape,2021-10-21,,estimate,2.6,2.6,0.7,1.7,2.2,2.4,2.7,3,3.8
Eastern Cape,2021-10-22,,estimate,2.4,2.5,0.6,1.6,2.1,2.3,2.6,2.9,3.7
Eastern Cape,2021-10-23,,estimate,2.3,2.4,0.6,1.6,2,2.2,2.5,2.8,3.5
Eastern Cape,2021-10-24,,estimate,2.3,2.3,0.6,1.5,1.9,2.1,2.4,2.7,3.4
Eastern Cape,2021-10-25,,estimate,2.2,2.2,0.6,1.4,1.8,2,2.3,2.6,3.3
Eastern Cape,2021-10-26,,estimate,2.1,2.2,0.6,1.4,1.8,2,2.2,2.5,3.2
Eastern Cape,2021-10-27,,estimate,2,2.1,0.5,1.3,1.7,1.9,2.2,2.4,3.1
Eastern Cape,2021-10-28,,estimate,2,2,0.5,1.3,1.7,1.8,2.1,2.3,3
Eastern Cape,2021-10-29,,estimate,1.9,2,0.5,1.2,1.6,1.8,2,2.3,2.9
