region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-09-27,,estimate,2,2,1,0,1,1,2,3,5
East of England,2020-09-28,,estimate,2,2,2,0,1,2,2,3,5
East of England,2020-09-29,,estimate,2,2,2,0,1,2,3,3,5
East of England,2020-09-30,,estimate,2,2,2,0,1,2,3,3,5
East of England,2020-10-01,,estimate,2,3,2,0,1,2,3,3,5
East of England,2020-10-02,,estimate,2,3,2,0,1,2,3,4,6
East of England,2020-10-03,,estimate,3,3,2,0,1,2,3,4,6
East of England,2020-10-04,,estimate,3,3,2,0,2,2,3,4,6
East of England,2020-10-05,,estimate,3,3,2,0,2,2,3,4,6
East of England,2020-10-06,,estimate,3,3,2,1,2,3,3,4,6
East of England,2020-10-07,,estimate,3,3,2,1,2,3,4,4,7
East of England,2020-10-08,,estimate,3,4,2,1,2,3,4,5,7
East of England,2020-10-09,,estimate,4,4,2,1,2,3,4,5,7
East of England,2020-10-10,,estimate,4,4,2,1,3,3,4,5,8
East of England,2020-10-11,,estimate,4,4,2,1,3,3,5,6,8
East of England,2020-10-12,,estimate,4,5,2,1,3,4,5,6,9
East of England,2020-10-13,,estimate,5,5,2,2,3,4,5,6,9
East of England,2020-10-14,,estimate,5,5,2,2,4,4,6,7,10
East of England,2020-10-15,,estimate,6,6,3,2,4,5,6,8,10
East of England,2020-10-16,,estimate,6,6,3,2,4,5,7,8,11
East of England,2020-10-17,,estimate,6,7,3,3,5,6,7,8,11
East of England,2020-10-18,,estimate,7,7,3,3,5,6,7,9,12
East of England,2020-10-19,,estimate,8,8,3,3,6,7,8,10,13
East of England,2020-10-20,,estimate,8,8,3,4,6,7,9,10,14
East of England,2020-10-21,,estimate,9,9,3,4,7,8,9,11,14
East of England,2020-10-22,,estimate,10,10,3,5,7,9,10,12,16
East of England,2020-10-23,,estimate,10,10,3,5,8,9,11,13,16
East of England,2020-10-24,,estimate,11,11,4,6,8,10,12,13,17
East of England,2020-10-25,,estimate,11,11,4,6,9,10,12,14,17
East of England,2020-10-26,,estimate,12,12,4,7,10,11,13,15,19
East of England,2020-10-27,,estimate,13,13,4,7,10,12,14,15,20
East of England,2020-10-28,,estimate,13,14,4,7,11,12,14,16,21
East of England,2020-10-29,,estimate,14,15,4,8,12,13,16,17,22
East of England,2020-10-30,,estimate,15,15,4,9,12,14,16,18,23
East of England,2020-10-31,,estimate,16,16,4,9,13,14,17,19,23
East of England,2020-11-01,,estimate,16,16,4,9,13,14,17,19,23
East of England,2020-11-02,,estimate,17,17,4,10,14,16,18,20,24
East of England,2020-11-03,,estimate,17,17,5,10,14,16,18,20,25
East of England,2020-11-04,,estimate,17,18,5,10,14,16,19,21,26
East of England,2020-11-05,,estimate,19,19,5,11,16,17,20,22,27
East of England,2020-11-06,,estimate,19,19,5,12,16,18,20,22,27
East of England,2020-11-07,,estimate,19,19,5,12,16,18,20,22,28
East of England,2020-11-08,,estimate,19,19,5,12,16,18,20,22,27
East of England,2020-11-09,,estimate,20,20,5,12,17,19,21,23,28
East of England,2020-11-10,,estimate,20,20,5,12,17,19,21,23,29
East of England,2020-11-11,,estimate,20,20,5,12,17,19,21,23,29
East of England,2020-11-12,,estimate,21,21,5,13,18,20,22,24,30
East of England,2020-11-13,,estimate,21,21,5,13,18,20,23,25,31
East of England,2020-11-14,,estimate,21,21,5,13,18,20,22,25,30
East of England,2020-11-15,,estimate,20,21,5,13,17,19,22,24,29
East of England,2020-11-16,,estimate,21,22,5,14,18,20,23,25,30
East of England,2020-11-17,,estimate,21,22,5,13,18,20,23,25,30
East of England,2020-11-18,,estimate,21,21,5,13,18,20,23,25,30
East of England,2020-11-19,,estimate,22,22,5,14,19,21,23,26,31
East of England,2020-11-20,,estimate,22,23,5,14,19,21,24,26,32
East of England,2020-11-21,,estimate,22,22,5,14,19,21,24,26,32
East of England,2020-11-22,,estimate,22,22,5,14,18,20,23,25,31
East of England,2020-11-23,,estimate,23,23,5,14,19,21,24,26,32
East of England,2020-11-24,,estimate,23,23,5,15,19,21,24,26,32
East of England,2020-11-25,,estimate,23,23,5,15,19,22,24,27,32
East of England,2020-11-26,,estimate,24,24,6,15,20,22,25,28,34
East of England,2020-11-27,,estimate,24,24,6,16,21,23,26,28,34
East of England,2020-11-28,,estimate,24,24,6,16,21,23,26,28,34
East of England,2020-11-29,,estimate,23,24,5,15,20,22,25,27,33
East of England,2020-11-30,,estimate,25,25,6,16,21,23,26,29,36
