region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-04-12,,estimate,1,1.1,1.2,0,0,0,1,2,3
East of England,2021-04-13,,estimate,2,1.9,1.8,0,1,1,2,3,5
East of England,2021-04-14,,estimate,1,0.9,1.1,0,0,0,1,1,3
East of England,2021-04-15,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-04-16,,estimate,1,1.1,1.2,0,0,0,1,2,3
East of England,2021-04-17,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-04-18,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-04-19,,estimate,1,1.2,1.4,0,0,1,1,2,4
East of England,2021-04-20,,estimate,2,2,1.9,0,1,1,2,3,6
East of England,2021-04-21,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-04-22,,estimate,1,1.1,1.2,0,0,0,1,2,3
East of England,2021-04-23,,estimate,1,1.2,1.3,0,0,1,1,2,4
East of England,2021-04-24,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-04-25,,estimate,1,1.2,1.4,0,0,1,1,2,4
East of England,2021-04-26,,estimate,1,1.1,1.3,0,0,1,1,2,4
East of England,2021-04-27,,estimate,1,1.9,1.8,0,1,1,2,3,5
East of England,2021-04-28,,estimate,1,0.9,1.1,0,0,0,1,1,3
East of England,2021-04-29,,estimate,1,0.9,1.1,0,0,0,1,1,3
East of England,2021-04-30,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-05-01,,estimate,1,1.1,1.3,0,0,1,1,2,4
East of England,2021-05-02,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-05-03,,estimate,1,1,1.1,0,0,0,1,1,3
East of England,2021-05-04,,estimate,1,1.5,1.5,0,0,1,2,2,4
East of England,2021-05-05,,estimate,0,0.7,1,0,0,0,1,1,3
East of England,2021-05-06,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-05-07,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-05-08,,estimate,1,0.9,1.1,0,0,0,1,1,3
East of England,2021-05-09,,estimate,1,0.8,1,0,0,0,1,1,3
East of England,2021-05-10,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-05-11,,estimate,1,1.2,1.4,0,0,1,1,2,4
East of England,2021-05-12,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-05-13,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-05-14,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-05-15,,estimate,0,0.7,0.9,0,0,0,1,1,2
East of England,2021-05-16,,estimate,0,0.7,0.9,0,0,0,1,1,2
East of England,2021-05-17,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-05-18,,estimate,1,1,1.2,0,0,0,1,1,3
East of England,2021-05-19,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-20,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-21,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-22,,estimate,0,0.6,0.8,0,0,0,1,1,2
East of England,2021-05-23,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-24,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-25,,estimate,1,0.8,1.1,0,0,0,1,1,3
East of England,2021-05-26,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-05-27,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-05-28,,estimate,0,0.5,0.7,0,0,0,0,1,2
East of England,2021-05-29,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-30,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-05-31,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-01,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-06-02,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-03,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-04,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-05,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-06,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-07,,estimate,0,0.5,0.7,0,0,0,0,1,2
East of England,2021-06-08,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-06-09,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-10,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-11,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-12,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-13,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-14,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-15,,estimate,1,0.8,1.1,0,0,0,1,1,3
East of England,2021-06-16,,estimate,0,0.4,0.7,0,0,0,0,1,2
East of England,2021-06-17,,estimate,0,0.5,0.7,0,0,0,0,1,2
East of England,2021-06-18,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-19,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-06-20,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-06-21,,estimate,0,0.6,0.8,0,0,0,0,1,2
East of England,2021-06-22,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-06-23,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-24,,estimate,0,0.5,0.8,0,0,0,0,1,2
East of England,2021-06-25,,estimate,0,0.6,0.9,0,0,0,1,1,2
East of England,2021-06-26,,estimate,0,0.7,1,0,0,0,1,1,3
East of England,2021-06-27,,estimate,0,0.7,1,0,0,0,1,1,3
East of England,2021-06-28,,estimate,0,0.7,1,0,0,0,1,1,3
East of England,2021-06-29,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-06-30,,estimate,0,0.7,0.9,0,0,0,1,1,2
East of England,2021-07-01,,estimate,0,0.7,0.9,0,0,0,1,1,2
East of England,2021-07-02,,estimate,1,0.8,1.1,0,0,0,1,1,3
East of England,2021-07-03,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-07-04,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-07-05,,estimate,1,1.1,1.2,0,0,0,1,2,3
East of England,2021-07-06,,estimate,1,1.9,1.8,0,1,1,2,3,5
East of England,2021-07-07,,estimate,1,1,1.2,0,0,0,1,2,3
