region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-08-01,,estimate,8.2,8.2,1.1,6.6,7.5,7.9,8.4,8.9,10
East of England,2021-08-02,,estimate,8.3,8.3,1,6.7,7.6,8,8.5,9,10.1
East of England,2021-08-03,,estimate,8.3,8.4,1,6.8,7.7,8.1,8.6,9.1,10.2
East of England,2021-08-04,,estimate,8.4,8.5,1.1,6.8,7.8,8.2,8.7,9.2,10.3
East of England,2021-08-05,,estimate,8.5,8.6,1.1,6.9,7.9,8.3,8.8,9.3,10.4
East of England,2021-08-06,,estimate,8.7,8.7,1.1,6.9,7.9,8.4,8.9,9.4,10.6
East of England,2021-08-07,,estimate,8.8,8.8,1.1,7.1,8.1,8.5,9.1,9.6,10.8
East of England,2021-08-08,,estimate,9,9,1.2,7.2,8.2,8.7,9.2,9.8,11
East of England,2021-08-09,,estimate,9.1,9.2,1.2,7.3,8.4,8.8,9.4,9.9,11.2
East of England,2021-08-10,,estimate,9.3,9.4,1.2,7.4,8.5,9,9.7,10.1,11.4
East of England,2021-08-11,,estimate,9.5,9.6,1.2,7.6,8.7,9.2,9.9,10.4,11.7
East of England,2021-08-12,,estimate,9.8,9.8,1.3,7.8,8.9,9.4,10.1,10.6,11.9
East of England,2021-08-13,,estimate,10,10,1.3,8,9.2,9.7,10.3,10.9,12.2
East of England,2021-08-14,,estimate,10.3,10.3,1.3,8.2,9.4,9.9,10.6,11.1,12.5
East of England,2021-08-15,,estimate,10.5,10.6,1.3,8.4,9.7,10.2,10.9,11.4,12.8
East of England,2021-08-16,,estimate,10.8,10.8,1.3,8.7,9.9,10.5,11.1,11.7,13.1
East of England,2021-08-17,,estimate,11.1,11.1,1.3,8.9,10.2,10.7,11.4,12,13.4
East of England,2021-08-18,,estimate,11.3,11.4,1.4,9.2,10.4,11,11.7,12.2,13.7
East of England,2021-08-19,,estimate,11.6,11.6,1.4,9.4,10.7,11.3,11.9,12.5,13.9
East of England,2021-08-20,,estimate,11.8,11.9,1.4,9.7,10.9,11.5,12.2,12.8,14.2
East of England,2021-08-21,,estimate,12,12.1,1.4,9.9,11.1,11.6,12.4,13,14.5
East of England,2021-08-22,,estimate,12.2,12.2,1.4,10,11.2,11.8,12.5,13.1,14.6
East of England,2021-08-23,,estimate,12.3,12.4,1.4,10.2,11.3,11.9,12.6,13.2,14.8
East of England,2021-08-24,,estimate,12.3,12.4,1.5,10.2,11.4,12,12.7,13.4,14.9
