region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Barking and Dagenham,2021-09-26,,estimate,1,0.8,0.9,0,0,0,1,1,3
Barking and Dagenham,2021-09-27,,estimate,1,1.4,1.2,0,0,1,1,2,4
Barking and Dagenham,2021-09-28,,estimate,1,1.4,1.3,0,0,1,2,2,4
Barking and Dagenham,2021-09-29,,estimate,1,1.4,1.3,0,0,1,1,2,4
Barking and Dagenham,2021-09-30,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-01,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-02,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-03,,estimate,1,1,1,0,0,1,1,1,3
Barking and Dagenham,2021-10-04,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-05,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-06,,estimate,1,1.5,1.3,0,0,1,2,2,4
Barking and Dagenham,2021-10-07,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-08,,estimate,2,1.7,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-10-09,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-10,,estimate,1,0.9,1,0,0,0,1,2,3
Barking and Dagenham,2021-10-11,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-12,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-10-13,,estimate,1,1.5,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-10-14,,estimate,2,1.8,1.4,0,1,1,2,2.2,4
Barking and Dagenham,2021-10-15,,estimate,2,1.8,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-10-16,,estimate,1,1.7,1.4,0,1,1,2,2.2,4
Barking and Dagenham,2021-10-17,,estimate,1,1,1,0,0,1,1,2,3
Barking and Dagenham,2021-10-18,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-19,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-20,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-10-21,,estimate,2,1.8,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-10-22,,estimate,2,1.8,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-10-23,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-24,,estimate,1,0.9,1,0,0,0,1,1,3
Barking and Dagenham,2021-10-25,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-26,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-27,,estimate,1,1.5,1.3,0,0,1,2,2,4
Barking and Dagenham,2021-10-28,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-29,,estimate,2,1.7,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-10-30,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-10-31,,estimate,1,1,1,0,0,1,1,2,3
Barking and Dagenham,2021-11-01,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-02,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-03,,estimate,1,1.5,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-04,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-05,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-06,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-07,,estimate,1,0.9,1,0,0,0,1,1,3
Barking and Dagenham,2021-11-08,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-09,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-10,,estimate,1,1.5,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-11,,estimate,1,1.7,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-12,,estimate,2,1.7,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-11-13,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-14,,estimate,1,0.9,1,0,0,0,1,1,3
Barking and Dagenham,2021-11-15,,estimate,1,1.6,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-16,,estimate,1,1.6,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-17,,estimate,1,1.5,1.3,0,1,1,2,2,4
Barking and Dagenham,2021-11-18,,estimate,1,1.7,1.4,0,1,1,2,2,4
Barking and Dagenham,2021-11-19,,estimate,2,1.8,1.4,0,1,1,2,3,4
Barking and Dagenham,2021-11-20,,estimate,1,1.7,1.4,0,1,1,2,3,4
