region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Barking and Dagenham,2021-04-01,,estimate,0,0.3,0.6,0,0,0,0,1,1
Barking and Dagenham,2021-04-02,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-04-03,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-04,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-05,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-04-06,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-07,,estimate,0,0.4,0.7,0,0,0,0,1,2
Barking and Dagenham,2021-04-08,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-04-09,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-10,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-11,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-12,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-13,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-14,,estimate,0,0.4,0.7,0,0,0,0,1,2
Barking and Dagenham,2021-04-15,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-16,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-17,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-18,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-19,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-20,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-04-21,,estimate,0,0.4,0.7,0,0,0,0,1,2
Barking and Dagenham,2021-04-22,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-23,,estimate,0,0.2,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-04-24,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-25,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-26,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-27,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-04-28,,estimate,0,0.3,0.6,0,0,0,0,1,2
Barking and Dagenham,2021-04-29,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-04-30,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-01,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-02,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-03,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-04,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-05,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-05-06,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-07,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-08,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-09,,estimate,0,0.1,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-10,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-11,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-12,,estimate,0,0.3,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-13,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-14,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-15,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-16,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-17,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-18,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-19,,estimate,0,0.3,0.6,0,0,0,0,0,1
Barking and Dagenham,2021-05-20,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-21,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-22,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-23,,estimate,0,0.2,0.4,0,0,0,0,0,1
Barking and Dagenham,2021-05-24,,estimate,0,0.2,0.5,0,0,0,0,0,1
Barking and Dagenham,2021-05-25,,estimate,0,0.1,0.3,0,0,0,0,0,1
Barking and Dagenham,2021-05-26,,estimate,0,0.3,0.6,0,0,0,0,1,1
