region,date,confirm
Asia,2020-07-04,994
Europe,2020-07-04,400
Africa,2020-07-04,234
Americas,2020-07-04,3384
Oceania,2020-07-04,0
Global,2020-07-04,5012
Asia,2020-07-05,1191
Europe,2020-07-05,340
Africa,2020-07-05,201
Americas,2020-07-05,2608
Oceania,2020-07-05,0
Global,2020-07-05,4340
Asia,2020-07-06,1051
Europe,2020-07-06,278
Africa,2020-07-06,293
Americas,2020-07-06,1759
Oceania,2020-07-06,0
Global,2020-07-06,3381
Asia,2020-07-07,1193
Europe,2020-07-07,301
Africa,2020-07-07,258
Americas,2020-07-07,2088
Oceania,2020-07-07,2
Global,2020-07-07,3842
Asia,2020-07-08,1160
Europe,2020-07-08,460
Africa,2020-07-08,358
Americas,2020-07-08,4018
Oceania,2020-07-08,0
Global,2020-07-08,5996
Asia,2020-07-09,1025
Europe,2020-07-09,415
Africa,2020-07-09,247
Americas,2020-07-09,3590
Oceania,2020-07-09,0
Global,2020-07-09,5277
Asia,2020-07-10,1120
Europe,2020-07-10,367
Africa,2020-07-10,226
Americas,2020-07-10,3670
Oceania,2020-07-10,0
Global,2020-07-10,5383
Asia,2020-07-11,1101
Europe,2020-07-11,366
Africa,2020-07-11,307
Americas,2020-07-11,3503
Oceania,2020-07-11,0
Global,2020-07-11,5277
Asia,2020-07-12,1123
Europe,2020-07-12,345
Africa,2020-07-12,221
Americas,2020-07-12,3103
Oceania,2020-07-12,1
Global,2020-07-12,4793
Asia,2020-07-13,1431
Europe,2020-07-13,240
Africa,2020-07-13,255
Americas,2020-07-13,1963
Oceania,2020-07-13,1
Global,2020-07-13,3890
Asia,2020-07-14,1151
Europe,2020-07-14,263
Africa,2020-07-14,217
Americas,2020-07-14,2210
Oceania,2020-07-14,0
Global,2020-07-14,3841
Asia,2020-07-15,1185
Europe,2020-07-15,364
Africa,2020-07-15,339
Americas,2020-07-15,3690
Oceania,2020-07-15,0
Global,2020-07-15,5578
Asia,2020-07-16,1242
Europe,2020-07-16,405
Africa,2020-07-16,244
Americas,2020-07-16,3607
Oceania,2020-07-16,3
Global,2020-07-16,5501
Asia,2020-07-17,1318
Europe,2020-07-17,349
Africa,2020-07-17,345
Americas,2020-07-17,3731
Oceania,2020-07-17,2
Global,2020-07-17,5745
Asia,2020-07-18,2022
Europe,2020-07-18,348
Africa,2020-07-18,280
Americas,2020-07-18,4580
Oceania,2020-07-18,3
Global,2020-07-18,7233
Asia,2020-07-19,1291
Europe,2020-07-19,257
Africa,2020-07-19,275
Americas,2020-07-19,3153
Oceania,2020-07-19,2
Global,2020-07-19,4978
Asia,2020-07-20,1390
Europe,2020-07-20,200
Africa,2020-07-20,204
Americas,2020-07-20,2138
Oceania,2020-07-20,4
Global,2020-07-20,3936
Asia,2020-07-21,1452
Europe,2020-07-21,225
Africa,2020-07-21,270
Americas,2020-07-21,2145
Oceania,2020-07-21,1
Global,2020-07-21,4093
Asia,2020-07-22,1297
Europe,2020-07-22,327
Africa,2020-07-22,314
Americas,2020-07-22,4182
Oceania,2020-07-22,3
Global,2020-07-22,6123
Asia,2020-07-23,1847
Europe,2020-07-23,347
Africa,2020-07-23,698
Americas,2020-07-23,3983
Oceania,2020-07-23,2
Global,2020-07-23,6877
Asia,2020-07-24,1439
Europe,2020-07-24,320
Africa,2020-07-24,275
Americas,2020-07-24,7740
Oceania,2020-07-24,5
Global,2020-07-24,9779
Asia,2020-07-25,1390
Europe,2020-07-25,327
Africa,2020-07-25,381
Americas,2020-07-25,4152
Oceania,2020-07-25,6
Global,2020-07-25,6256
Asia,2020-07-26,1269
Europe,2020-07-26,272
Africa,2020-07-26,411
Americas,2020-07-26,3775
Oceania,2020-07-26,6
Global,2020-07-26,5733
Asia,2020-07-27,1331
Europe,2020-07-27,175
Africa,2020-07-27,267
Americas,2020-07-27,2180
Oceania,2020-07-27,10
Global,2020-07-27,3963
Asia,2020-07-28,1220
Europe,2020-07-28,246
Africa,2020-07-28,409
Americas,2020-07-28,2775
Oceania,2020-07-28,6
Global,2020-07-28,4656
Asia,2020-07-29,1535
Europe,2020-07-29,321
Africa,2020-07-29,310
Americas,2020-07-29,3989
Oceania,2020-07-29,7
Global,2020-07-29,6162
Asia,2020-07-30,1302
Europe,2020-07-30,354
Africa,2020-07-30,374
Americas,2020-07-30,4602
Oceania,2020-07-30,10
Global,2020-07-30,6642
Asia,2020-07-31,1393
Europe,2020-07-31,332
Africa,2020-07-31,454
Americas,2020-07-31,4191
Oceania,2020-07-31,13
Global,2020-07-31,6383
Asia,2020-08-01,1281
Europe,2020-08-01,345
Africa,2020-08-01,333
Americas,2020-08-01,4156
Oceania,2020-08-01,8
Global,2020-08-01,6123
Asia,2020-08-02,1348
Europe,2020-08-02,234
Africa,2020-08-02,312
Americas,2020-08-02,3861
Oceania,2020-08-02,4
Global,2020-08-02,5759
Asia,2020-08-03,1577
Europe,2020-08-03,244
Africa,2020-08-03,315
Americas,2020-08-03,2089
Oceania,2020-08-03,8
Global,2020-08-03,4233
Asia,2020-08-04,1349
Europe,2020-08-04,245
Africa,2020-08-04,349
Americas,2020-08-04,2270
Oceania,2020-08-04,13
Global,2020-08-04,4226
Asia,2020-08-05,1441
Europe,2020-08-05,379
Africa,2020-08-05,469
Americas,2020-08-05,4430
Oceania,2020-08-05,11
Global,2020-08-05,6730
Asia,2020-08-06,1470
Europe,2020-08-06,383
Africa,2020-08-06,542
Americas,2020-08-06,4702
Oceania,2020-08-06,15
Global,2020-08-06,7112
Asia,2020-08-07,1224
Europe,2020-08-07,294
Africa,2020-08-07,449
Americas,2020-08-07,4919
Oceania,2020-08-07,9
Global,2020-08-07,6895
Asia,2020-08-08,1588
Europe,2020-08-08,333
Africa,2020-08-08,421
Americas,2020-08-08,4115
Oceania,2020-08-08,11
Global,2020-08-08,6468
Asia,2020-08-09,1350
Europe,2020-08-09,291
Africa,2020-08-09,412
Americas,2020-08-09,3569
Oceania,2020-08-09,12
Global,2020-08-09,5634
Asia,2020-08-10,1862
Europe,2020-08-10,312
Africa,2020-08-10,347
Americas,2020-08-10,2286
Oceania,2020-08-10,17
Global,2020-08-10,4824
Asia,2020-08-11,1370
Europe,2020-08-11,334
Africa,2020-08-11,330
Americas,2020-08-11,2765
Oceania,2020-08-11,18
Global,2020-08-11,4817
Asia,2020-08-12,1380
Europe,2020-08-12,276
Africa,2020-08-12,268
Americas,2020-08-12,4197
Oceania,2020-08-12,18
Global,2020-08-12,6139
Asia,2020-08-13,1539
Europe,2020-08-13,358
Africa,2020-08-13,426
Americas,2020-08-13,4556
Oceania,2020-08-13,21
Global,2020-08-13,6900
Asia,2020-08-14,1509
Europe,2020-08-14,361
Africa,2020-08-14,400
Americas,2020-08-14,7631
Oceania,2020-08-14,9
Global,2020-08-14,9910
Asia,2020-08-15,1519
Europe,2020-08-15,284
Africa,2020-08-15,422
Americas,2020-08-15,4002
Oceania,2020-08-15,14
Global,2020-08-15,6241
Asia,2020-08-16,1550
Europe,2020-08-16,451
Africa,2020-08-16,235
Americas,2020-08-16,3417
Oceania,2020-08-16,4
Global,2020-08-16,5657
Asia,2020-08-17,1468
Europe,2020-08-17,250
Africa,2020-08-17,292
Americas,2020-08-17,2206
Oceania,2020-08-17,17
Global,2020-08-17,4233
Asia,2020-08-18,1540
Europe,2020-08-18,251
Africa,2020-08-18,240
Americas,2020-08-18,2214
Oceania,2020-08-18,25
Global,2020-08-18,4270
Asia,2020-08-19,1604
Europe,2020-08-19,443
Africa,2020-08-19,387
Americas,2020-08-19,4240
Oceania,2020-08-19,17
Global,2020-08-19,6691
Asia,2020-08-20,1504
Europe,2020-08-20,339
Africa,2020-08-20,372
Americas,2020-08-20,4319
Oceania,2020-08-20,12
Global,2020-08-20,6546
Asia,2020-08-21,1719
Europe,2020-08-21,338
Africa,2020-08-21,339
Americas,2020-08-21,3942
Oceania,2020-08-21,15
Global,2020-08-21,6353
Asia,2020-08-22,1449
