source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
united-kingdom,East of England,2021-02-13,,0.757909255441881,0.759335278099476,0.0605388287275419,0.662252957329839,0.718986418753219,0.743895677037924,0.771977986327874,0.796601443540604,0.859147871086282
united-kingdom,East of England,2021-02-14,,0.758585514334726,0.758853628032927,0.0526815660268607,0.673033100344869,0.723628654798524,0.745593649525788,0.770705764413658,0.792953451233095,0.84582822296081
united-kingdom,East of England,2021-02-15,,0.758726358528533,0.759300218350048,0.0457377101786224,0.684946439401135,0.728081506877309,0.747292397308504,0.770603386842736,0.789830158385516,0.833838218730293
united-kingdom,East of England,2021-02-16,,0.760673551925559,0.760853944718574,0.0398365482531802,0.696401186938442,0.733691719757959,0.750593590604091,0.770592966738433,0.787553247275785,0.825955078466842
united-kingdom,East of England,2021-02-17,,0.76335169013295,0.763690830214472,0.0350988523076386,0.706191472599764,0.739981236232021,0.754717888380291,0.772142084085715,0.787518066821861,0.821544049629836
united-kingdom,East of England,2021-02-18,,0.767796339374574,0.767973124409202,0.0315877499156121,0.716143474307595,0.746214689294882,0.759997494043847,0.776138851727858,0.789464781869775,0.818558150091252
united-kingdom,East of England,2021-02-19,,0.773879645804388,0.773838181186741,0.0292465709307094,0.725541286312731,0.754128372220144,0.766567139870558,0.781316066335568,0.793405373849224,0.821526667565564
united-kingdom,East of England,2021-02-20,,0.78157291718172,0.78138795000104,0.027868138405325,0.735808828749322,0.763079039716752,0.774551746699994,0.788697369819499,0.799749468471038,0.826289413739152
united-kingdom,East of England,2021-02-21,,0.790709312607567,0.790679642392645,0.0271370018407815,0.745549365118659,0.772387806339224,0.783990514562339,0.797723797492149,0.809131101388894,0.833916374356356
united-kingdom,East of England,2021-02-22,,0.801892256840898,0.801717827965112,0.0267244768526007,0.756915241743724,0.78387463442626,0.79514690706522,0.808918252747539,0.820550001755614,0.843884333648961
united-kingdom,East of England,2021-02-23,,0.815018408428335,0.814448026404275,0.0263732491282117,0.769662236752485,0.7971893517232,0.808172051905333,0.821937533926828,0.833027309262178,0.855241780509646
united-kingdom,East of England,2021-02-24,,0.829290249436511,0.828751882183626,0.025936007628514,0.784720557582006,0.812037948959224,0.822918190462778,0.836459198784754,0.847330037217191,0.868281199259124
united-kingdom,East of England,2021-02-25,,0.845439156060586,0.844444204441921,0.025375025464406,0.800561985962586,0.828261921707952,0.838796553929023,0.851784677619022,0.862148086431738,0.883630374489179
