region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2020-10-19,,estimate,0.026,0.026,0.024,-0.014,0.011,0.021,0.032,0.041,0.062
Alberta,2020-10-20,,estimate,0.027,0.026,0.022,-0.011,0.013,0.022,0.033,0.041,0.061
Alberta,2020-10-21,,estimate,0.028,0.027,0.021,-0.009,0.014,0.023,0.033,0.041,0.059
Alberta,2020-10-22,,estimate,0.028,0.028,0.019,-0.005,0.016,0.024,0.033,0.041,0.057
Alberta,2020-10-23,,estimate,0.029,0.028,0.018,-0.002,0.017,0.025,0.034,0.041,0.056
Alberta,2020-10-24,,estimate,0.03,0.029,0.017,0.001,0.019,0.026,0.034,0.041,0.055
Alberta,2020-10-25,,estimate,0.031,0.03,0.016,0.004,0.02,0.027,0.035,0.041,0.054
Alberta,2020-10-26,,estimate,0.032,0.031,0.015,0.006,0.022,0.028,0.035,0.041,0.054
Alberta,2020-10-27,,estimate,0.032,0.032,0.014,0.009,0.023,0.029,0.036,0.041,0.054
Alberta,2020-10-28,,estimate,0.033,0.033,0.013,0.011,0.025,0.03,0.036,0.041,0.053
Alberta,2020-10-29,,estimate,0.034,0.034,0.012,0.013,0.026,0.031,0.037,0.042,0.053
Alberta,2020-10-30,,estimate,0.035,0.034,0.012,0.015,0.027,0.032,0.037,0.042,0.053
Alberta,2020-10-31,,estimate,0.035,0.035,0.011,0.017,0.028,0.033,0.038,0.042,0.053
Alberta,2020-11-01,,estimate,0.036,0.036,0.011,0.018,0.029,0.034,0.039,0.043,0.053
Alberta,2020-11-02,,estimate,0.037,0.037,0.01,0.019,0.03,0.034,0.039,0.043,0.053
Alberta,2020-11-03,,estimate,0.037,0.037,0.01,0.02,0.031,0.035,0.04,0.044,0.053
Alberta,2020-11-04,,estimate,0.038,0.038,0.01,0.022,0.032,0.035,0.04,0.044,0.054
Alberta,2020-11-05,,estimate,0.038,0.038,0.01,0.023,0.032,0.036,0.041,0.044,0.054
Alberta,2020-11-06,,estimate,0.038,0.039,0.01,0.024,0.032,0.036,0.041,0.044,0.054
Alberta,2020-11-07,,estimate,0.038,0.039,0.01,0.024,0.032,0.036,0.041,0.044,0.055
Alberta,2020-11-08,,estimate,0.038,0.039,0.01,0.024,0.032,0.036,0.041,0.045,0.055
Alberta,2020-11-09,,estimate,0.038,0.039,0.01,0.024,0.032,0.036,0.041,0.045,0.056
Alberta,2020-11-10,,estimate,0.038,0.039,0.01,0.024,0.032,0.036,0.04,0.045,0.056
Alberta,2020-11-11,,estimate,0.037,0.038,0.01,0.024,0.031,0.035,0.04,0.044,0.056
Alberta,2020-11-12,,estimate,0.037,0.038,0.01,0.023,0.031,0.035,0.04,0.044,0.055
Alberta,2020-11-13,,estimate,0.036,0.037,0.01,0.022,0.03,0.034,0.039,0.043,0.055
Alberta,2020-11-14,,estimate,0.036,0.036,0.01,0.022,0.029,0.033,0.038,0.042,0.054
Alberta,2020-11-15,,estimate,0.034,0.036,0.01,0.021,0.028,0.032,0.037,0.042,0.054
Alberta,2020-11-16,,estimate,0.033,0.034,0.01,0.019,0.027,0.031,0.036,0.04,0.053
Alberta,2020-11-17,,estimate,0.032,0.033,0.01,0.018,0.026,0.03,0.034,0.039,0.052
